钎霖脚厘(cm),,,,钎霖眉吝(kg),,
巢磊,,咯磊,,巢磊,,咯磊
50.1,免积矫,49.4,,3.4,免积矫,3.3
67.6,5~6俺岿,66.3,,8,5~6俺岿,7.5
76,11~12俺岿,74.8,,9.9,11~12俺岿,9.4
81.2,15~18俺岿,79.9,,11.1,15~18俺岿,10.5
86.2,21~24俺岿,85,,12.3,21~24俺岿,11.7
93.1,2.5~3技,91.9,,14,2.5~3技,13.4
100.3,3.5~4技,99.2,,15.9,3.5~4技,15.3
107.2,4.5~5技,106.1,,18.1,4.5~5技,17.4
113.6,5.5~6技,112.5,,20.4,5.5~6技,19.6
119.5,6.5~7技,118.3,,22.9,6.5~7技,22
123.7,7~8技,122.4,,24.8,7~8技,23.9
129.1,8~9技,127.8,,27.8,8~9技,26.9
134.2,9~10技,133.5,,31.3,9~10技,30.5
139.4,10~11技,139.9,,35.5,10~11技,34.7
145.3,11~12技,146.7,,40.3,11~12技,39.2
151.8,12~13技,152.7,,45.5,12~13技,43.8
159,13~14技,156.6,,50.7,13~14技,47.8
165.5,14~15技,158.5,,55.4,14~15技,50.9
169.7,15~16技,159.4,,59.4,15~16技,52.8
171.8,16~17技,160,,62.4,16~17技,53.6
172.8,17~18技,160.4,,64.5,17~18技,53.9
173.4,18~19技,160.7,,65.8,18~19技,54.1
