나이,성별,체력항목,P4,P20,P80,P96,등급기준
4,남자,순발력(5초),14,18,26,30,W/kg^0.67
4,남자,근력(15초),10,14,20,24,W/kg^0.67
4,남자,근지구력(30초),8,12,17,20,W/kg^0.67
4,남자,심폐지구력(60초),7,10,14,17,W/kg^0.67
4,여자,순발력(5초),12,16,23,27,W/kg^0.67
4,여자,근력(15초),9,12,18,21,W/kg^0.67
4,여자,근지구력(30초),7,10,15,18,W/kg^0.67
4,여자,심폐지구력(60초),6,8,12,15,W/kg^0.67
5,남자,순발력(5초),14,18,26,30,W/kg^0.67
5,남자,근력(15초),10,14,20,24,W/kg^0.67
5,남자,근지구력(30초),8,12,17,20,W/kg^0.67
5,남자,심폐지구력(60초),7,10,14,17,W/kg^0.67
5,여자,순발력(5초),12,16,23,27,W/kg^0.67
5,여자,근력(15초),9,12,18,21,W/kg^0.67
5,여자,근지구력(30초),7,10,15,18,W/kg^0.67
5,여자,심폐지구력(60초),6,8,12,15,W/kg^0.67
6,남자,순발력(5초),16,20,29,33,W/kg^0.67
6,남자,근력(15초),12,16,23,27,W/kg^0.67
6,남자,근지구력(30초),9,13,19,22,W/kg^0.67
6,남자,심폐지구력(60초),8,11,16,19,W/kg^0.67
6,여자,순발력(5초),14,18,26,30,W/kg^0.67
6,여자,근력(15초),10,14,20,24,W/kg^0.67
6,여자,근지구력(30초),8,11,16,19,W/kg^0.67
6,여자,심폐지구력(60초),7,9,13,16,W/kg^0.67
7,남자,순발력(5초),18,23,33,37,W/kg^0.67
7,남자,근력(15초),14,18,26,30,W/kg^0.67
7,남자,근지구력(30초),10,15,21,25,W/kg^0.67
7,남자,심폐지구력(60초),9,12,18,21,W/kg^0.67
7,여자,순발력(5초),16,20,29,33,W/kg^0.67
7,여자,근력(15초),12,16,23,27,W/kg^0.67
7,여자,근지구력(30초),9,12,18,21,W/kg^0.67
7,여자,심폐지구력(60초),8,10,15,18,W/kg^0.67
8,남자,순발력(5초),20,26,37,42,W/kg^0.67
8,남자,근력(15초),16,21,30,35,W/kg^0.67
8,남자,근지구력(30초),12,17,24,28,W/kg^0.67
8,남자,심폐지구력(60초),10,14,20,24,W/kg^0.67
8,여자,순발력(5초),18,23,33,37,W/kg^0.67
8,여자,근력(15초),14,18,26,30,W/kg^0.67
8,여자,근지구력(30초),10,14,20,24,W/kg^0.67
8,여자,심폐지구력(60초),9,12,17,20,W/kg^0.67
9,남자,순발력(5초),23,29,42,47,W/kg^0.67
9,남자,근력(15초),18,24,34,40,W/kg^0.67
9,남자,근지구력(30초),14,19,27,32,W/kg^0.67
9,남자,심폐지구력(60초),12,16,23,27,W/kg^0.67
9,여자,순발력(5초),20,26,37,42,W/kg^0.67
9,여자,근력(15초),16,21,30,35,W/kg^0.67
9,여자,근지구력(30초),12,16,23,27,W/kg^0.67
9,여자,심폐지구력(60초),10,13,19,22,W/kg^0.67
10,남자,순발력(5초),26,33,47,53,W/kg^0.67
10,남자,근력(15초),21,28,40,46,W/kg^0.67
10,남자,근지구력(30초),16,22,31,36,W/kg^0.67
10,남자,심폐지구력(60초),14,18,26,30,W/kg^0.67
10,여자,순발력(5초),23,29,42,47,W/kg^0.67
10,여자,근력(15초),18,24,34,40,W/kg^0.67
10,여자,근지구력(30소),14,18,26,30,W/kg^0.67
10,여자,심폐지구력(60초),12,15,22,25,W/kg^0.67
11,남자,순발력(5초),30,38,54,61,W/kg^0.67
11,남자,근력(15초),24,32,46,53,W/kg^0.67
11,남자,근지구력(30초),18,25,35,41,W/kg^0.67
11,남자,심폐지구력(60초),16,21,30,35,W/kg^0.67
11,여자,순발력(5초),26,33,47,53,W/kg^0.67
11,여자,근력(15초),21,28,40,46,W/kg^0.67
11,여자,근지구력(30초),16,21,30,35,W/kg^0.67
11,여자,심폐지구력(60초),14,18,26,30,W/kg^0.67
12,남자,순발력(5초),34,43,61,69,W/kg^0.67
12,남자,근력(15초),28,37,53,61,W/kg^0.67
12,남자,근지구력(30초),21,29,41,48,W/kg^0.67
12,남자,심폐지구력(60초),18,25,35,41,W/kg^0.67
12,여자,순발력(5초),30,38,54,61,W/kg^0.67
12,여자,근력(15초),24,32,46,53,W/kg^0.67
12,여자,근지구력(30초),18,24,34,40,W/kg^0.67
12,여자,심폐지구력(60초),16,20,29,33,W/kg^0.67

백분위등급,등급명,설명
P96이상,매우우수,상위4%
P80-P96,우수,상위5-20%
P20-P80,보통,중간60%
P4-P20,낮음,하위21-96%
P4이하,매우낮음,하위4%

계산공식,설명
절대파워(W),와트바이크에서 측정된 원시 파워값
상대파워,절대파워 ÷ (체중^0.67)
백분위계산,상대파워를 연령/성별 기준표와 비교
최종등급,백분위에 따른 5단계 등급 부여
