age,gender,standardWeight,measurement_type,wattbike_original,relative_power,P96,P80,P20,P4
4,M,15.9,power_5s,24.04,59.90,69,63,51,42
4,M,15.9,strength_15s,24.04,43.23,50,45,37,30
4,M,15.9,muscle_endurance_30s,11.50,35.20,40,37,30,25
4,M,15.9,cardio_endurance_60s,11.50,28.65,33,30,24,20
4,M,15.9,long_endurance_180s,7.60,21.60,25,23,18,15
4,M,15.9,long_endurance_300s,7.60,18.94,22,20,16,13
5,M,17.4,power_5s,23.77,61.01,70,64,52,43
5,M,17.4,strength_15s,23.77,44.07,51,46,37,31
5,M,17.4,muscle_endurance_30s,11.39,35.89,41,38,31,25
5,M,17.4,cardio_endurance_60s,11.39,29.24,34,31,25,20
5,M,17.4,long_endurance_180s,7.50,21.98,25,23,19,15
5,M,17.4,long_endurance_300s,7.50,19.25,22,20,16,13
6,M,19.6,power_5s,23.35,62.33,72,65,53,44
6,M,19.6,strength_15s,23.35,45.17,52,47,38,32
6,M,19.6,muscle_endurance_30s,11.27,36.87,42,39,31,26
6,M,19.6,cardio_endurance_60s,11.27,30.09,35,32,26,21
6,M,19.6,long_endurance_180s,7.39,22.56,26,24,19,16
6,M,19.6,long_endurance_300s,7.39,19.73,23,21,17,14
7,M,22.9,power_5s,23.22,65.25,75,69,55,46
7,M,22.9,strength_15s,23.22,47.20,54,50,40,33
7,M,22.9,muscle_endurance_30s,11.16,38.47,44,40,33,27
7,M,22.9,cardio_endurance_60s,11.16,31.36,36,33,27,22
7,M,22.9,long_endurance_180s,7.29,23.45,27,25,20,16
7,M,22.9,long_endurance_300s,7.29,20.49,24,22,17,14
8,M,24.8,power_5s,22.95,66.21,76,70,56,46
8,M,24.8,strength_15s,22.95,47.91,55,50,41,34
8,M,24.8,muscle_endurance_30s,11.04,39.07,45,41,33,27
8,M,24.8,cardio_endurance_60s,11.04,31.85,37,33,27,22
8,M,24.8,long_endurance_180s,7.19,23.77,27,25,20,17
8,M,24.8,long_endurance_300s,7.19,20.74,24,22,18,15
9,M,27.8,power_5s,22.68,67.95,78,71,58,48
9,M,27.8,strength_15s,22.68,49.21,57,52,42,34
9,M,27.8,muscle_endurance_30s,10.93,40.14,46,42,34,28
9,M,27.8,cardio_endurance_60s,10.93,32.75,38,34,28,23
9,M,27.8,long_endurance_180s,7.08,24.35,28,26,21,17
9,M,27.8,long_endurance_300s,7.08,21.21,24,22,18,15
10,M,31.3,power_5s,22.41,69.82,80,73,59,49
10,M,31.3,strength_15s,22.41,50.58,58,53,43,35
10,M,31.3,muscle_endurance_30s,10.81,41.27,47,43,35,29
10,M,31.3,cardio_endurance_60s,10.81,33.68,39,35,29,24
10,M,31.3,long_endurance_180s,6.98,24.99,29,26,21,17
10,M,31.3,long_endurance_300s,6.98,21.75,25,23,18,15
11,M,35.5,power_5s,22.14,71.90,83,75,61,50
11,M,35.5,strength_15s,22.14,52.14,60,55,44,36
11,M,35.5,muscle_endurance_30s,10.70,42.56,49,45,36,30
11,M,35.5,cardio_endurance_60s,10.70,34.75,40,36,30,24
11,M,35.5,long_endurance_180s,6.88,25.71,30,27,22,18
11,M,35.5,long_endurance_300s,6.88,22.34,26,23,19,16
12,M,40.3,power_5s,21.86,74.03,85,78,63,52
12,M,40.3,strength_15s,21.86,53.71,62,56,46,38
12,M,40.3,muscle_endurance_30s,10.58,43.87,50,46,37,31
12,M,40.3,cardio_endurance_60s,10.58,35.83,41,38,30,25
12,M,40.3,long_endurance_180s,6.77,26.42,30,28,22,18
12,M,40.3,long_endurance_300s,6.77,22.93,26,24,19,16
4,F,15.3,power_5s,19.42,47.77,55,50,41,33
4,F,15.3,strength_15s,19.42,34.48,40,36,29,24
4,F,15.3,muscle_endurance_30s,9.29,28.07,32,29,24,20
4,F,15.3,cardio_endurance_60s,9.29,22.85,26,24,19,16
4,F,15.3,long_endurance_180s,6.61,18.12,21,19,15,13
4,F,15.3,long_endurance_300s,6.61,16.26,19,17,14,11
5,F,17.4,power_5s,19.20,49.28,57,52,42,34
5,F,17.4,strength_15s,19.20,35.60,41,37,30,25
5,F,17.4,muscle_endurance_30s,9.20,28.99,33,30,25,20
5,F,17.4,cardio_endurance_60s,9.20,23.61,27,25,20,17
5,F,17.4,long_endurance_180s,6.52,18.67,21,20,16,13
5,F,17.4,long_endurance_300s,6.52,16.74,19,18,14,12
6,F,19.6,power_5s,18.99,50.70,58,53,43,35
6,F,19.6,strength_15s,18.99,36.64,42,38,31,26
6,F,19.6,muscle_endurance_30s,9.11,29.85,34,31,25,21
